shape,n_points,eig_index,eigenvalue,uncanon_score,is_uncanonicalizable,spectral_gap
symmetria/human/inst01_noise0.000,896,8,1.24163843,0.234811,False,0.07317677
symmetria/human/inst01_noise0.000,896,9,1.28302574,0.190547,False,0.07317677
symmetria/human/inst01_noise0.000,896,10,1.34890656,0.333613,False,0.07317677
symmetria/human/inst01_noise0.000,896,11,1.64387643,0.083101,True,0.07317677
symmetria/human/inst01_noise0.000,896,12,1.66050695,0.212138,False,0.07317677
symmetria/human/inst01_noise0.000,896,13,1.70978533,0.157953,True,0.07317677
symmetria/human/inst01_noise0.000,896,14,1.85127674,0.113901,True,0.07317677
symmetria/human/inst01_noise0.000,896,15,2.08117594,0.242066,False,0.07317677
symmetria/human/inst01_noise0.000,896,16,2.26014948,0.285478,False,0.07317677
symmetria/human/inst01_noise0.000,896,17,2.32444466,0.179312,False,0.07317677
symmetria/human/inst01_noise0.000,896,18,2.42194399,0.237503,False,0.07317677
symmetria/human/inst01_noise0.000,896,19,2.66476440,0.097649,True,0.07317677
symmetria/human/inst01_noise0.010,896,0,0.00000000,2.000000,False,0.07404434
symmetria/human/inst01_noise0.010,896,1,0.07404434,0.200536,False,0.07404434
symmetria/human/inst01_noise0.010,896,2,0.22627725,0.343333,False,0.07404434
symmetria/human/inst01_noise0.010,896,3,0.34383183,0.118767,True,0.07404434
symmetria/human/inst01_noise0.010,896,4,0.48876340,0.194379,False,0.07404434
symmetria/human/inst01_noise0.010,896,5,0.65212247,0.103212,True,0.07404434
symmetria/human/inst01_noise0.010,896,6,0.84918441,0.235642,False,0.07404434
symmetria/human/inst01_noise0.010,896,7,1.03792752,0.202024,False,0.07404434
symmetria/human/inst01_noise0.010,896,8,1.23321618,0.351519,False,0.07404434
symmetria/human/inst01_noise0.010,896,9,1.24793172,0.271834,False,0.07404434
symmetria/human/inst01_noise0.010,896,10,1.37084554,0.279108,False,0.07404434
symmetria/human/inst01_noise0.010,896,11,1.64977126,0.069425,True,0.07404434
symmetria/human/inst01_noise0.010,896,12,1.67717726,0.280684,False,0.07404434
symmetria/human/inst01_noise0.010,896,13,1.70175560,0.159882,True,0.07404434
symmetria/human/inst01_noise0.010,896,14,1.85797094,0.113030,True,0.07404434
symmetria/human/inst01_noise0.010,896,15,2.10361629,0.200086,False,0.07404434
symmetria/human/inst01_noise0.010,896,16,2.22967565,0.356615,False,0.07404434
symmetria/human/inst01_noise0.010,896,17,2.30466269,0.242975,False,0.07404434
symmetria/human/inst01_noise0.010,896,18,2.35594702,0.267750,False,0.07404434
symmetria/human/inst01_noise0.010,896,19,2.58574074,0.126455,True,0.07404434
symmetria/human/inst01_noise0.050,896,0,0.00000000,2.000000,False,0.07444100
symmetria/human/inst01_noise0.050,896,1,0.07444100,0.266220,False,0.07444100
symmetria/human/inst01_noise0.050,896,2,0.21898628,0.297322,False,0.07444100
symmetria/human/inst01_noise0.050,896,3,0.37282866,0.170835,False,0.07444100
symmetria/human/inst01_noise0.050,896,4,0.50514612,0.147844,True,0.07444100
symmetria/human/inst01_noise0.050,896,5,0.67199381,0.092736,True,0.07444100
symmetria/human/inst01_noise0.050,896,6,0.89132886,0.241997,False,0.07444100
symmetria/human/inst01_noise0.050,896,7,1.07366483,0.110062,True,0.07444100
symmetria/human/inst01_noise0.050,896,8,1.31672733,0.153523,True,0.07444100
symmetria/human/inst01_noise0.050,896,9,1.34403468,0.184371,False,0.07444100
symmetria/human/inst01_noise0.050,896,10,1.37823165,0.084130,True,0.07444100
symmetria/human/inst01_noise0.050,896,11,1.62542500,0.251446,False,0.07444100
symmetria/human/inst01_noise0.050,896,12,1.63992464,0.191908,False,0.07444100
symmetria/human/inst01_noise0.050,896,13,1.73181579,0.205381,False,0.07444100
symmetria/human/inst01_noise0.050,896,14,1.95827595,0.061102,True,0.07444100
symmetria/human/inst01_noise0.050,896,15,2.07530815,0.152842,True,0.07444100
symmetria/human/inst01_noise0.050,896,16,2.22116652,0.193755,False,0.07444100
symmetria/human/inst01_noise0.050,896,17,2.45498536,0.224038,False,0.07444100
symmetria/human/inst01_noise0.050,896,18,2.64890562,0.163052,True,0.07444100
symmetria/human/inst01_noise0.050,896,19,2.73239548,0.109056,True,0.07444100
symmetria/human/inst02_noise0.000,896,0,-0.00000000,2.000000,False,0.06790420
symmetria/human/inst02_noise0.000,896,1,0.06790420,0.189002,False,0.06790420
symmetria/human/inst02_noise0.000,896,2,0.22184704,0.242830,False,0.06790420
symmetria/human/inst02_noise0.000,896,3,0.35635108,0.097343,True,0.06790420
symmetria/human/inst02_noise0.000,896,4,0.52034711,0.305008,False,0.06790420
symmetria/human/inst02_noise0.000,896,5,0.66184655,0.163991,True,0.06790420
symmetria/human/inst02_noise0.000,896,6,0.81776098,0.221255,False,0.06790420
symmetria/human/inst02_noise0.000,896,7,0.96863859,0.072481,True,0.06790420
symmetria/human/inst02_noise0.000,896,8,1.18544715,0.300116,False,0.06790420
symmetria/human/inst02_noise0.000,896,9,1.27036786,0.103680,True,0.06790420
symmetria/human/inst02_noise0.000,896,10,1.37947381,0.207703,False,0.06790420
symmetria/human/inst02_noise0.000,896,11,1.63741699,0.106251,True,0.06790420
symmetria/human/inst02_noise0.000,896,12,1.66187517,0.075293,True,0.06790420
symmetria/human/inst02_noise0.000,896,13,1.72504995,0.183011,False,0.06790420
symmetria/human/inst02_noise0.000,896,14,1.90041629,0.344730,False,0.06790420
symmetria/human/inst02_noise0.000,896,15,2.15820326,0.085121,True,0.06790420
symmetria/human/inst02_noise0.000,896,16,2.24487901,0.333515,False,0.06790420
symmetria/human/inst02_noise0.000,896,17,2.33059028,0.113142,True,0.06790420
symmetria/human/inst02_noise0.000,896,18,2.57240192,0.297120,False,0.06790420
symmetria/human/inst02_noise0.000,896,19,2.60498050,0.125182,True,0.06790420
